id;recorrido;vehiculo
1;3.600;79
2;1.800;54
3;3.333;74
4;2.283;62
5;4.533;85
6;2.883;55
7;4.700;88
8;3.600;85
9;1.950;51
10;4.350;85
11;1.833;54
12;3.917;84
13;4.200;78
14;1.750;47
15;4.700;83
16;2.167;52
17;1.750;62
18;4.800;84
19;1.600;52
20;4.250;79
21;1.800;51
22;1.750;47
23;3.450;78
24;3.067;69
25;4.533;74
26;3.600;83
27;1.967;55
28;4.083;76
29;3.850;78
30;4.433;79
31;4.300;73
32;4.467;77
33;3.367;66
34;4.033;80
35;3.833;74
36;2.017;52
37;1.867;48
38;4.833;80
39;1.833;59
40;4.783;90
41;4.350;80
42;1.883;58
43;4.567;84
44;1.750;58
45;4.533;73
46;3.317;83
47;3.833;64
48;2.100;53
49;4.633;82
50;2.000;59
51;4.800;75
52;4.716;90
53;1.833;54
54;4.833;80
55;1.733;54
56;4.883;83
57;3.717;71
58;1.667;64
59;4.567;77
60;4.317;81
61;2.233;59
62;4.500;84
63;1.750;48
64;4.800;82
65;1.817;60
66;4.400;92
67;4.167;78
68;4.700;78
69;2.067;65
70;4.700;73
71;4.033;82
72;1.967;56
73;4.500;79
74;4.000;71
75;1.983;62
76;5.067;76
77;2.017;60
78;4.567;78
79;3.883;76
80;3.600;83
81;4.133;75
82;4.333;82
83;4.100;70
84;2.633;65
85;4.067;73
86;4.933;88
87;3.950;76
88;4.517;80
89;2.167;48
90;4.000;86
91;2.200;60
92;4.333;90
93;1.867;50
94;4.817;78
95;1.833;63
96;4.300;72
97;4.667;84
98;3.750;75
99;1.867;51
100;4.900;82
